Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2020-21,Health Management Pty Ltd,Cairns North,4870,," The Space Australasia Pty Ltd 
 Didgigo Marketing Pty Ltd 
 Amazon Web Services Australia Pty Ltd 
 James Cook University - Cairns Campus - Master 
 MacDonnells Law Pty Ltd 
 Central Queensland University - Cairns Campus - Master 
 Department of Industry, Science, Energy and Resources 
 Art Work Space Pty Ltd 
 PieLAB Capital Pty Ltd 
 FNQ Angels Inc 
 Cairns Regional Council 
 Cairns Chamber of Commerce Inc",Launch FNQ Innovation Ecosystem Activation and Education Project,Cairns North,4870,,11/11/2020,Cairns (R),Far North Queensland,Cairns,230000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Ignite Far North Queensland Limited,Manunda,4870,," The Space Australasia Pty Ltd 
 Northern Gulf Resource Management Group Ltd 
 Tablelands Regional Council 
 enVizion Group Inc 
 James Cook University - Cairns Campus - Master",Advancing Regional Innovation in FNQ through the IgniteFNQ Collaborative Action Plan (LINKED TO AQARIPSTAGED00316-17),Cairns City,4870,"Wujal Wujal, Mareeba, Mossman, Bamaga, Thursday island, Cooktown, Weipa",26/06/2017,Cairns (R),Far North Queensland,Cairns,315000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Central Highlands Development Corporation Limited,Emerald,4720,," Central Highlands Regional Council 
 BHP Billiton Limited 
 C-Res (Qld) Pty Ltd 
 Rural Business Collective Pty Ltd 
 Central Queensland University (CQUniversity Australia)",Building and Bridging the Region’s New Economy,Emerald,4720,"Theodore, Tieri",28/08/2017,Central Highlands (R),Central Queensland,Gregory,500000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Ipswich City Council,Ipswich,4305,," Future Anything Pty Ltd 
 Ipswich Region Chamber of Commerce & Industry 
 Motor Trades Association of QLD Industrial Organisation Of Employers 
 Startup Toowoomba Pty Ltd 
 Upower Leadership Program Pty Ltd 
 Greater Springfield Chamber of Commerce 
 TAFE Queensland - Bundamba 
 Brisbane Broncos Ltd 
 Springfield City Group Pty Limited 
 University Of Southern Queensland - Springfield Campus - Master 
 Workrestart Pty Ltd 
 STEM Punks Ventures Pty Ltd 
 Telstra Corporation Limited 
 Ambition Group Limited 
 Firestation 101 (Ipswich City Enterprises Pty Ltd)",Creating a foundation of entrepreneurial talent and culture in Ipswich & West Moreton,Ipswich,4305,"Gatton, Harrisville",29/06/2017,Ipswich (C),Ipswich,Ipswich,432125
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Innovation NQ Inc.,Townsville,4810,," James Cook University - Townsville Campus - Master 
 JESI Management Solutions Pty Ltd - Townsville 
 Honeycombes Developments Pty Ltd 
 The Philip Leong Youth Program 
 Sister City Partners Limited 
 Dec-Mech Pty Ltd",INQ Innovation Ecosystem Development,Townsville City,4810,"Charters Towers, Ingham & Ayr",26/09/2017,Townsville (C),Townsville,Townsville,150000
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Full 2016-17,Central Western Queensland Remote Area Planning And Development Board,Longreach,4730,," James Cook University - Townsville Campus - Master 
 Central Queensland University - Rockhampton Campus - Master 
 South West Regional Economic Development Association 
 Mckinlay Shire Council 
 Local Government Association of Queensland 
 The Outback Queensland Tourism Association Inc 
 University of Southern Queensland (Institute of Resilient Regions) 
 Education Queensland 
 Queensland University Of Technology 
 Price Waterhouse Coopers 
 Telstra Corporation Limited 
 GWI Pty Ltd",Outback Queensland Collaborative Innovation Project,Longreach,4730,"Cunnamulla, Julia Creek",13/06/2017,Longreach (R),Outback Queensland,Gregory,487248
Advancing Regional Innovation Program,AQ Advancing Regional Innovation Staged 2016-17,Regional Development Australia Far North Queensland and Torres Strait Incorporated,Cairns,4870,," Tablelands Regional Council 
 The Space Australasia Pty Ltd 
 EnVizion Group Inc 
 Northern Gulf Resource Management Group Ltd 
 James Cook University",Develop a Collaborative Action & advise on the submission of a subsequent full application for the Far North Queensland region (LINKED TO AQARIPFULL00816-17),Cairns City,4870,,20/03/2017,Cairns (R),Far North Queensland,Cairns,20000
Agtech and Logistics Hub,,Agrifood Connect Limited,Toowoomba City,4350,"University of Southern Queensland
University of Queensland","Toowoomba and Surat Basin Enterprise
FKG Group",Agtech and Logistics Hub,Toowoomba City,4350,,25/09/2020,Toowoomba (R),Darling Downs,Toowoomba North,3000000
Artificial Intelligence Hub,,AI Consortium Pty Ltd,Fortitude Valley,4006,"The University of Queensland, Queensland University of Technology",KPMG,Artificial Intelligence Hub,Fortitude Valley,4006,,6/03/2020,Brisbane (C),Brisbane,McConnel,5000000
AustCyber - Establishment of a Queensland Node,,Australian Cyber Security Growth Network Ltd,Griffith,2603,,,Establishment of Queensland Cyber Security Hub,Statewide,,Townsville (part time only),26/05/2020,NonQueensland,Statewide,NonQueensland,160000
BDO Business of Entrepreneurship,,Acceler8 Pty Ltd,Brisbane City,4000,,,Acceler8 for delivery of the BDO Business of Entrepreneurship Program: supporting startups and scaleups in a COVID-19 world,Brisbane City,4000,,4/06/2020,Brisbane (C),Brisbane and Redlands,McConnel,356396
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Southern Oil Refining Pty Ltd,Bomen,2650,, Carbon Free Renewables Pty Ltd,Bio-Hydrogen Generation for Bio-fuel Production,Yarwun,4694,n/a,2/06/2017,NonQueensland,Central Queensland,NonQueensland,1000000
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,The University of Queensland,St Lucia,4067,, Amyris Inc.,Queensland Strain Factory,St Lucia,4067,"Emeryville (California, USA)",12/06/2017,Brisbane (C),Brisbane and Redlands,Maiwar,496000
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Woods Grain Pty Ltd,Goondiwindi,4390,, The University of Queensland - St Lucia Campus - Master,New Algae Farm in Goondiwindi,Goondiwindi,4390,n/a,2/06/2017,Goondiwindi (R),Darling Downs,Southern Downs,579000
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,MP Australia Holdings Pty Ltd,Gordonvale,4865,," Queensland University of Technology - Gardens Point Campus - Master 
 Ausagave 
 Howe Farming",Agave and sugarcane: integrated bioindustries,Arriga,4880,Brisbane  /  Mackay  /  Maryborough,2/06/2017,Cairns (R),Far North Queensland,Mulgrave,180000
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Aquatec Maxcon Pty Ltd,Wulkuraka,4305,, Trisco Foods Pty Ltd,Anaerobic membrane bioreactor for biogas,Carole Park,4300,Ipswich,2/06/2017,Ipswich (C),Ipswich,Ipswich West,400000
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Dugalunji Aboriginal Corporation,Camooweal,4828,, The University of Queensland,QLD Spinifex Nano-Cellulose Industry,Indooroopilly,4068,Camooweal,2/06/2017,Mount Isa (C),Brisbane and Redlands,Traeger,995129
Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Inkerman Canegrowers Organisation Limited,Home Hill,4086,," Mr Gregory O'Hanlon 
 S&L Peters Pty Ltd 
 Nothern Oils Refinery Pty Ltd 
 Northern Australia Cropping Consultants Pty Ltd 
 Recycling Technologies Group",Burdekin BioFutures Project,Home Hill,4806,Gladstone  /  Brisbane  /  Maryborough  /  Melbourne  /  Eden (NSW),2/06/2017,Burdekin (S),Townsville,Burdekin,125000
Bionics,,Bionics Queensland Limited,Ashgrove,4060,,,Bionics Queensland Innovation and Research Challenge,Ashgrove,4060,,22/05/2020,Brisbane (C),Brisbane and Redlands,Cooper,100000
Bionics,,Bionics Queensland Limited,Ashgrove,4060,, Motor Accident Insurance Commission,Bionics Ecosystem Mapping Study,Ashgrove,4060,,3/06/2020,Brisbane (C),Brisbane and Redlands,Cooper,60000
Clem Jones Centre for Ageing Dementia Research,Clem Jones Centre for Ageing Dementia Research,The University of Queensland,St Lucia,4067,,,Commercial development of the ultrasound application for Alzheimer's disease treatment developed at Queensland Brain Institute's Clem Jones Centre for Ageing Dementia Research,St Lucia,4067,,1/06/2018,Brisbane (C),Brisbane and Redlands,Maiwar,5000000
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Smart Sensor Technologies Pty Ltd,Corinda,4075,,,WineMinder,Corinda,4075,"Guangzhou, China",23/03/2017,Brisbane (C),Brisbane and Redlands,Mount Ommaney,17482
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,AusAsia Health Innovation Pty Ltd,Fairfield,4103,,,The Traeger’s Box - portable EMR device for medical emergency,Fairfield,4103,"Beijing, China",23/03/2017,Brisbane (C),Brisbane and Redlands,Miller,17070
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Ocean Organics Australia Pty Ltd,Alexandra Hills,4161,,,"Seagrass extract uses for the pharmaceutical, healthcare or skincare industries.",Alexandra Hills,4161,"Shanghai, China",23/03/2017,Redland (C),Brisbane and Redlands,Capalaba,15895
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Elanra Medical Pty Ltd,Varsity Lakes,4227,,,Distribute Elanra Medical throughout China,Varsity Lakes,4227,"Suzhou, China",23/03/2017,Gold Coast (C),Gold Coast,Burleigh,19899
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Go Evolve Pty Ltd as trustee for Evolve Group Unit Trust,Surfers Paradise,4217,,,Universal Modular Building System,Surfers Paradise,4217,"Shenzhen, China",23/03/2017,Gold Coast (C),Gold Coast,Surfers Paradise,13209
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Applied Matter Systems Pty Ltd,Kangaroo Point,4169,,,"Bringing Dimension to e-Commerce, off Screen and into Consumers' Hands",Kangaroo Point,4169,Guangzhou,23/03/2017,Brisbane (C),Brisbane and Redlands,South Brisbane,17727
Commercialisation Partnerships Program,Queensland-China MOST CPP 2016-17 Round 1,Griffith University,Nathan,4111,,,Low Cost SiC Schottky Diodes,Nathan,4111,"Shanghai, China",23/03/2017,Brisbane (C),Brisbane and Redlands,Toohey,9853
Create Queensland,Round 2,Deanne & Masao,Currumbin,4223,,,Guinness World Records of Hula Hooping,,,Online,29/06/2017,Gold Coast (C),Statewide,Currumbin,30000
Create Queensland,Round 2,Andy Thomsen,Strathdickie,4800,,,Andy's Fishing,,,Online,29/06/2017,Whitsunday (R),Statewide,Whitsunday,30000
Create Queensland,Round 2,Olivia Weeks,Wellington Point,4160,,,Behind the scenes: Recording an EP,,,Online,29/06/2017,Redland (C),Statewide,Oodgeroo,10000
Create Queensland,Round 3,Mark Valencia,Bellmere,4510,QUT/GU,Screen Queensland/YouTube,Self Sufficient Me,,,Online,10/08/2018,Moreton Bay (R),Statewide,Glass House,27500
Create Queensland,Round 1,Tom Horn,Annerley,4103,,,TOM THUM: Live from the Larynx’,,,Online,9/08/2016,Brisbane (C),Statewide,Miller,30000
Create Queensland,Round 1,Alysse Skilton,Hervey Bay,4655,,,Madison Herring: SexybubbleGumBritneySpearsStar49,,,Online,9/08/2016,Fraser Coast (R),Statewide,Hervey Bay,10000
Create Queensland,Round 1,Stephanie Hames,Buderim,4556,,,Short horror films,,,Online,9/08/2016,Sunshine Coast (R),Statewide,Buderim,10000
Create Queensland,Round 2,Andrew Price,Shailer Park,4128,,,Explaining the 3D industry,,,Online,29/06/2017,Logan (C),Statewide,Springwood,30000
Create Queensland,Round 1,Sara Holmes,Chapel Hill,4069,,,Australia Vs Korea,,,Online,9/08/2016,Brisbane (C),Statewide,Moggill,30000
Create Queensland,Round 1,Elly Awesome,Holland Park West,4121,,,Show me your food,,,Online,9/08/2016,Brisbane (C),Statewide,Greenslopes,30000
Create Queensland,Round 3,Zach Mander,Mitchelton,4053,QUT/GU,Screen Queensland/YouTube,Collective Noun,,,Online,10/08/2018,Brisbane (C),Statewide,Everton,27500
Data61,,Commonwealth Scientific And Industrial Research Organisation T/A Data61,Fortitude Valley,4006,,Data61,"Establishing a Functional Programming Open Lab, Big Data Platform Challenge, Q-Foresight, Queensland Research Fellow (Q-Foresight)",Fortitude Valley,4006,n/a,5/12/2016,Brisbane (C),Brisbane,Mackay,5695000
Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605,,,Cherbourg digital connectivity pilot – access to Starlink satellite internet service for 12 months,Cherbourg,4605,"Peregian Digital Hub, Noosa Council - will also host some of the activities",2/02/2022,Cherbourg (S),Wide Bay,Nanango,35391
Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605,, National Indigenous Australians Agency,Cherbourg Material Recovery Facility,Cherbourg,4605,,25/11/2022,Cherbourg (S),Wide Bay,Nanango,10000
Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605,, Indigenous Land and Sea Corporation,Cherbourg AI Project - From Waste to Data to Opportunity,Cherbourg,4605,,9/09/2020,Cherbourg (S),Wide Bay,Nanango,150000
Deadly Innovation,Round 1,BCF Concreting Solutions Pty Ltd,Rockhampton City,4700,,,Top Con GPS millimietre guidance system for Wirtgen former.,Rockhampton City,4700,312 Alexandra Street Kawana 4701,13/07/2020,Rockhampton (R),Central Queensland,Rockhampton,100000
Deadly Innovation,Round 1,Sobah Beverages Pty Ltd,Burleigh Heads,4220,,,Dry Shelf Stabilisation of Products,Burleigh Heads,4220,,21/08/2019,Gold Coast (C),Gold Coast,Burleigh,100000
Deadly Innovation,Round 1,Islex Australia Pty Ltd,Kingston,4114,,,Smart Syphon Commercialisation,Kingston,4114,Cotton Farm locations across regional Queensland and NSW.,30/09/2020,Logan (C),Logan,Waterford,100000
Deadly Innovation,Round 1,Minjerribah Art Studio & Cottage Pty Ltd,Dunwich,4183,,,Support to scale - Expo 2020 Dubai,Dunwich,4183,Dubai - attendance at Expo,31/05/2021,Redland (C),Brisbane and Redlands,Oodgeroo,25000
Deadly Innovation,Round 1,Hopevale Congress Aboriginal Corporation RNTBC,Cooktown,4895,,,Business Case - Hopevale Black Lip Oysters,Cooktown,4895,,23/09/2020,Cook (S),Far North Queensland,Cook,35638
Deadly Innovation,Round 1,Davis Trading Pty Ltd,Kawana,4701,,,Effective Feral Pig Control Traps,Kawana,4701,,13/08/2021,Rockhampton (R),Central Queensland,Rockhampton,100000
Deadly Innovation,Round 1,Nourishing Bites Pty Ltd,West End,4810,,,Commercialise Heavenly Hazel ChocHazelnut Spread,West End,4810,,13/07/2020,Townsville (C),Townsville,Townsville,100000
Deadly Innovation,Round 1,Pwron Pty Ltd,New Farm,4005,,,PWRON Temperature Alert Log System,New Farm,4005,"Mount Low, QLD",22/12/2020,Brisbane (C),Brisbane and Redlands,McConnel,100000
Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700,,,Wujal Wujal vanilla bean commercialisation business case,Wandal,4700,Wujal Wujal Queensland,19/10/2022,Rockhampton (R),Central Queensland,Rockhampton,45800
Deadly Innovation,Round 1,LOGiT Australia Pty Ltd,New Farm,4005,," CSIRO - EcoSciences Precinct - Master 
 MEGT Australia Ltd",Weavr - Reconciliation Action Plan monitoring and reporting system,New Farm,4005,,12/08/2021,Brisbane (C),Brisbane and Redlands,McConnel,50000
Deadly Innovation,Round 1,RRJ Engineering Pty Ltd T/A B&C Plastics,Meadowbrook,4131,, Container Exchange (QLD) Limited,Business Case and Pilot project - Dive fins from recycled plastic sourced from the Torres Strait,Meadowbrook,4131,"Cairns, Torres Strait, Thursday Island",21/10/2021,Logan (C),Logan,Waterford,35000
Deadly Innovation,Round 1,Iscariot Media Pty Ltd,Everton Park,4053,,,Western Yalanji AR project – Stage 2 of Western Yalanji rock art project,Everton Park,4053,,25/05/2022,Brisbane (C),Brisbane and Redlands,Everton,25000
Deadly Innovation,Round 1,Solar Relief Pty Ltd,Kirwan,4817,,,Commercialisation of Portable Power Supply.,Kirwan,4817,Brisbane,8/09/2020,Townsville (C),Townsville,Thuringowa,75000
Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700,,,Hopevale tropical blacklip rock oyster farm - Stage 1,Hope Vale,4895,,10/05/2022,Rockhampton (R),Far North Queensland,Rockhampton,15750
Deadly Innovation,Round 1,Department of Agriculture and Fisheries,Wilsonton Heights,4350,,,Indigenous Native Food Project - Phase 2,Wilsonton Heights,4350,Across Queensland,25/05/2022,Toowoomba (R),Darling Downs,Toowoomba North,200000
Deadly Innovation,Round 1,Woorabinda Aboriginal Shire Council,Woorabinda,4713,,,Business Case: Commercial Wattle Seed Production,Woorabinda,4713,,23/09/2020,Woorabinda (S),Central Queensland,Gregory,40500
Dubai South,,Trade and Investment Queensland,Brisbane City,4000,,,Dubai South Project 2107/18 - 2021,Dubai,,Dubai,22/01/2017,Brisbane (C),NonQueensland,McConnel,355000
Female Founders Program,,Advisory Board Centre Pty Ltd,Brisbane City,4000,,,Provision of Innovation Services Contract No. DITID 26-19,Brisbane City,4000,,4/03/2023,Brisbane (C),Brisbane,McConnel,76500
Female Founders Program,,Impact Innovation Group Pty Ltd,Brisbane City,4000,,,Provision of Innovation Services Contract No. DITID 25-19,Brisbane City,4000,,5/03/2019,Brisbane (C),Brisbane,McConnel,1452855
Female Founders Program,Round 1,SBE Australia Limited,"Bondi Junction, NSW",,,,SBE Evolve,Fortitude Valley,4006,,22/09/2021,NonQueensland,Brisbane,NonQueensland,30000
Female Founders Program,Scrunch Program,Scrunch Enterprises Pty Ltd,West End,4101,,,Female Founders Scrunch Program,West End,4101,,7/08/2020,Brisbane (C),Brisbane,South Brisbane,95409
Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Dr Philip Ellery,Burleigh Heads,4220,,,Epri - Insects for Food and Feed,Burleigh Heads,4220,,27/07/2017,Gold Coast (C),Gold Coast,Burleigh,100000
Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Microba Life Sciences Limited,Brisbane City,4000,,,Data Mining the Gut Microbiome,Brisbane City,4000,n/a,27/07/2017,Brisbane (C),Brisbane and Redlands,McConnel,100000
Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Future Biosolutions Pty Ltd,Mountain Creek,4557,,,New tools for viral monitoring,Mountain Creek,4557,n/a,27/07/2017,Sunshine Coast (R),Sunshine Coast,Buderim,100000
Founders Fellowships,AQ Founders Fellowship 2016-17 Round 1,Feline Pty Ltd,Bonogin,4213,,,Advanced Materials for Light-Weight Electric Motors,Bonogin,4213,n/a,27/07/2017,Gold Coast (C),Gold Coast,Mudgeeraba,100000
Fraunhofer Institute Partnership,Fraunhofer Institute Partnership,Griffith University,Southport,4215,,,Operation of the Fraunhofer iCAIR Centre at Griffith’s Gold Coast campus,Southport,4215,,1/06/2018,Gold Coast (C),Gold Coast,Bonney,700000
